// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Tetrahedra Data File
// ================================================================================
//
// Data Structure:
// Node 1 Node 2 Node 3 Node 4
// Note: Node numbers are zero-indexed
//
// ================================================================================
83 570 636 3140
1854 1960 3399 2330
3009 2023 3270 2557
798 801 2732 4005
1028 984 2159 2320
3622 2003 1443 3522
1000 515 3459 2644
399 293 335 639
1711 1502 3319 2731
105 242 1729 3570
1005 1042 1004 3766
688 539 2657 1977
2607 2724 2146 1916
2529 1602 2984 1591
881 915 882 3000
3776 2010 3088 1642
3134 3938 2744 1668
2016 3642 3408 3539
3074 3691 1774 2464
687 686 664 3584
3614 2172 2341 4043
3027 1066 3574 3209
2555 3074 1522 3807
808 809 941 3630
688 539 53 2657
1512 2952 2545 3351
58 242 3679 3071
1157 740 1203 3095
242 1729 3679 1658
2009 662 3164 2901
1242 3144 1779 1934
3220 1800 2967 1905
254 331 2285 2907
3623 2226 2679 1693
2624 3810 1573 1441
2062 2994 2554 2487
3380 1867 2711 3806
137 203 3461 3874
1275 1168 3413 3301
746 748 747 3729
2408 1699 2006 3049
997 986 956 3300
17 16 15 3892
1729 2805 2710 1433
207 690 2103 2406
208 1106 37 3078
1730 3285 3605 2151
3518 3437 1594 3847
3326 2938 2590 3954
3689 2957 1850 2861
514 566 1651 3459
2965 3045 2661 2264
413 277 407 2613
1432 3358 3750 1838
3210 3450 1587 1835
57 4 2658 3071
3851 3815 2337 1686
2084 2825 3902 2897
1650 830 3646 3930
1062 1104 2997 3940
1052 1068 2635 1760
546 511 545 1445
142 215 235 2602
1109 968 1728 3975
1389 1588 2626 2048
156 197 3728 3476
3623 3527 2818 1693
826 889 3524 2832
1405 2180 3140 3391
2941 3129 1536 2364
545 2009 3164 4024
2459 3072 2771 1416
1312 2692 3174 2767
846 830 770 3646
2913 1825 2071 1691
2768 2185 3795 1507
3633 1387 3909 2011
1140 988 987 1707
3995 1505 2611 2181
2103 1886 3190 3879
2119 1445 3101 2866
1824 2622 2949 3070
2116 1457 3937 1361
546 545 715 1445
846 902 1650 4016
1003 980 1142 3131
3017 2913 2294 1409
1367 3632 2799 3802
1198 89 1266 3133
2219 401 2900 3982
1919 2340 3778 2083
860 794 76 3934
4020 2037 2777 2344
2740 3231 1441 2004
1056 959 1488 4060
3372 1855 2309 2932
1884 4061 3970 2481
4013 3638 2878 3285
614 2685 2564 3780
58 4 57 3071
1788 4061 1884 2218
1443 2605 3522 3581
793 864 2907 3607
3294 1486 2193 3417
1492 1455 3260 2097
2689 3038 1967 3040
3184 3194 3560 1911
1859 1932 2605 3662
3734 1747 2318 3738
3439 1994 1570 1490
575 568 576 1561
2458 2958 1578 3403
1473 2018 1892 2790
2991 3811 1635 3191
3964 1414 2348 3620
2134 1550 2457 1482
3295 763 3615 2233
334 391 3982 3139
3860 2299 3503 1875
928 930 3380 3863
3717 1752 3228 3053
1331 1332 1238 3450
3080 3718 2784 1788
845 904 2793 2921
1915 3641 3428 1784
762 912 3465 1521
33 32 30 2174
2879 1461 3988 1988
3093 1739 2391 3404
3247 2992 1928 3341
2651 1512 1985 2785
1872 2485 3750 2045
748 967 747 3729
1532 4047 2705 2960
3718 2030 2238 2784
1867 4013 2711 3806
55 635 75 157
2016 1251 1632 3318
2272 2021 2690 3621
3588 2689 2254 1868
159 859 79 34
1243 1234 1232 3932
1685 2651 1985 1831
3450 2717 1587 1683
579 573 2885 2265
2618 3037 2419 2826
212 176 1314 175
2469 1174 1448 2263
2809 2555 3807 2134
1151 1899 1772 3453
752 1168 3440 2287
3106 3965 3032 1725
27 165 1935 2661
221 223 146 3016
3065 2703 3562 1449
44 2396 2032 3200
309 454 455 2377
1693 2679 2321 3865
2576 2334 2031 4045
3098 1369 2496 2770
2586 3690 1732 3366
255 441 318 2368
1015 1035 1036 3213
767 2040 1562 3491
3178 2416 2108 1364
3525 1985 1682 1831
1475 193 1405 1397
3239 1530 1386 2766
25 24 3496 3406
2415 2059 2951 1692
2115 1747 2318 1945
762 917 1521 2112
572 629 1605 2834
688 180 209 53
3911 3713 2745 2282
1747 3233 1738 3738
3938 4011 3134 2744
1172 1251 2016 3100
141 140 2993 2951
3960 3692 2460 3979
951 994 1776 3504
966 3686 1886 2459
2246 2348 1786 2403
3061 3545 3419 2096
1232 1310 3845 2905
3445 1680 3231 2755
539 619 2059 2415
2809 3807 2277 2134
534 693 652 1313
3286 2588 2512 1756
2438 3120 1809 2527
84 10 3153 1412
1177 2611 2150 3204
94 1855 3055 1975
2792 1542 2664 3400
3536 1602 1634 2095
2103 3190 1430 2406
1478 2997 2165 2494
9 1287 1154 2781
727 1151 729 1899
3230 1583 3941 3683
2694 725 2374 1702
306 1270 403 2150
2804 3461 1430 2775
1074 1150 1093 2284
3017 1457 2778 1770
1153 3449 1999 3085
2886 1350 3237 1569
619 635 2059 2415
3231 3486 2384 2755
2073 3178 3894 1426
1199 1259 2442 2646
1140 987 1023 3970
1049 1115 1116 4032
2891 1729 1433 1547
1602 1808 1591 3186
3386 2436 2039 3405
2019 625 4010 3589
2435 2331 1564 1428
3174 3918 3010 2032
1481 4039 2460 2826
670 644 650 3269
3552 2618 1840 2826
1527 4028 3520 2978
178 1279 179 181
595 3658 1690 1997
2208 1574 2723 2239
2270 2827 3369 1767
3734 1855 2318 3476
3731 3778 3937 3309
886 21 186 1523
2968 1541 3942 3748
3106 3946 2625 2507
759 758 760 3786
1580 2700 2288 2547
281 642 410 341
890 889 2239 3524
1008 1007 1936 3516
2437 2855 1507 2941
1244 1323 2046 1885
3891 3790 2541 2281
177 36 912 213
649 532 628 1768
1189 2576 2031 4045
2580 1255 3265 3162
3217 2147 1767 1421
2735 3991 2251 2494
1991 3343 3521 3868
