# Particle Data Generated with LDPM Mesh Generation Tool
# [n x y z d]
# Note: Node numbers are zero-indexed

# Number of Nodes: 1150
# Number of Aggregates: 476
0 0.0 34.076683044433594 20.595439910888672 0.0
1 0.0 35.41666793823242 14.583333015441895 0.0
2 0.0 29.169002532958984 18.752336502075195 0.0
3 0.0 16.759885787963867 26.331340789794922 0.0
4 0.0 15.203282356262207 20.945171356201172 0.0
5 0.0 11.707837104797363 25.040069580078125 0.0
6 0.0 27.77777862548828 50.0 0.0
7 0.0 25.0 44.98529815673828 0.0
8 0.0 22.22222137451172 50.0 0.0
9 0.0 50.0 22.22222137451172 0.0
10 0.0 44.55797576904297 24.0207576751709 0.0
11 0.0 50.0 27.77777862548828 0.0
12 0.0 5.424107074737549 24.268707275390625 0.0
13 0.0 0.0 22.22222137451172 0.0
14 0.0 0.0 27.77777862548828 0.0
15 0.0 22.22222137451172 0.0 0.0
16 0.0 25.0 4.926973342895508 0.0
17 0.0 27.77777862548828 0.0 0.0
18 0.0 13.685154914855957 29.83278465270996 0.0
19 0.0 29.531787872314453 12.834373474121094 0.0
20 0.0 32.74656295776367 8.659217834472656 0.0
21 0.0 36.3356819152832 45.26753616333008 0.0
22 0.0 33.33333206176758 50.0 0.0
23 0.0 38.88888931274414 50.0 0.0
24 0.0 50.0 33.33333206176758 0.0
25 0.0 45.23345947265625 36.430267333984375 0.0
26 0.0 50.0 38.88888931274414 0.0
27 0.0 0.0 38.88888931274414 0.0
28 0.0 4.739992618560791 36.37662124633789 0.0
29 0.0 0.0 33.33333206176758 0.0
30 0.0 33.33333206176758 0.0 0.0
31 0.0 36.47388458251953 4.888228893280029 0.0
32 0.0 38.88888931274414 0.0 0.0
33 0.0 50.0 11.11111068725586 0.0
34 0.0 45.310035705566406 13.767406463623047 0.0
35 0.0 50.0 16.66666603088379 0.0
36 0.0 16.66666603088379 50.0 0.0
37 0.0 13.727869033813477 45.26668930053711 0.0
38 0.0 11.11111068725586 50.0 0.0
39 0.0 11.11111068725586 0.0 0.0
40 0.0 13.573090553283691 4.765305042266846 0.0
41 0.0 16.66666603088379 0.0 0.0
42 0.0 0.0 16.66666603088379 0.0
43 0.0 4.689837455749512 13.767461776733398 0.0
44 0.0 0.0 11.11111068725586 0.0
45 0.0 29.612098693847656 23.932254791259766 0.0
46 0.0 26.2258243560791 29.7103214263916 0.0
47 0.0 28.86785125732422 33.73493576049805 0.0
48 0.0 32.12632369995117 28.29034423828125 0.0
49 0.0 24.80985450744629 24.91738510131836 0.0
50 0.0 50.0 50.0 0.0
51 0.0 45.2394905090332 45.2394905090332 0.0
52 0.0 44.44444274902344 50.0 0.0
53 0.0 50.0 44.44444274902344 0.0
54 0.0 50.0 0.0 0.0
55 0.0 45.2394905090332 4.760508060455322 0.0
56 0.0 50.0 5.55555534362793 0.0
57 0.0 44.44444274902344 0.0 0.0
58 0.0 0.0 50.0 0.0
59 0.0 4.427243709564209 45.572757720947266 0.0
60 0.0 0.0 44.44444274902344 0.0
61 0.0 5.55555534362793 50.0 0.0
62 0.0 0.0 5.55555534362793 0.0
63 0.0 4.760508060455322 4.760508060455322 0.0
64 0.0 0.0 0.0 0.0
65 0.0 5.55555534362793 0.0 0.0
66 0.0 39.65540313720703 36.04713439941406 0.0
67 0.0 41.639957427978516 41.639957427978516 0.0
68 0.0 42.19259262084961 32.44123840332031 0.0
69 0.0 37.22208023071289 30.260311126708984 0.0
70 0.0 35.41666793823242 35.41666793823242 0.0
71 0.0 37.274288177490234 10.052633285522461 0.0
72 0.0 41.639957427978516 8.360042572021484 0.0
73 0.0 10.073988914489746 36.77393341064453 0.0
74 0.0 8.360042572021484 41.639957427978516 0.0
75 0.0 7.621562957763672 32.06572723388672 0.0
76 0.0 12.880472183227539 10.062904357910156 0.0
77 0.0 8.360042572021484 8.360042572021484 0.0
78 0.0 17.5822696685791 7.798750400543213 0.0
79 0.0 14.462454795837402 15.254508972167969 0.0
80 0.0 19.647794723510742 12.796570777893066 0.0
81 0.0 36.227657318115234 40.0943717956543 0.0
82 0.0 32.671016693115234 42.273868560791016 0.0
83 0.0 13.924492835998535 39.931243896484375 0.0
84 0.0 17.773849487304688 42.267921447753906 0.0
85 0.0 14.583333015441895 35.41666793823242 0.0
86 0.0 19.90424156188965 37.282676696777344 0.0
87 0.0 40.236263275146484 14.261466026306152 0.0
88 0.0 42.57136917114258 18.05061149597168 0.0
89 0.0 9.7664155960083 14.37635326385498 0.0
90 0.0 7.4277544021606445 18.05099868774414 0.0
91 0.0 25.0 10.747354507446289 0.0
92 0.0 25.778953552246094 15.42977523803711 0.0
93 0.0 21.838773727416992 17.776756286621094 0.0
94 0.0 20.449996948242188 22.260482788085938 0.0
95 0.0 25.757957458496094 39.05769729614258 0.0
96 0.0 31.373476028442383 37.8624153137207 0.0
97 0.0 19.491073608398438 46.26422119140625 0.0
98 0.0 46.54580307006836 19.44444465637207 0.0
99 0.0 3.4541988372802734 19.44444465637207 0.0
100 0.0 19.470035552978516 3.736442804336548 0.0
101 0.0 45.930110931396484 30.392017364501953 0.0
102 0.0 3.874394178390503 30.4233341217041 0.0
103 0.0 30.524688720703125 45.994712829589844 0.0
104 0.0 30.5479679107666 4.392574787139893 0.0
105 0.0 25.170089721679688 20.59870147705078 0.0
106 0.0 17.376235961914062 32.10324478149414 0.0
107 0.0 21.790895462036133 32.202598571777344 0.0
108 0.0 35.05754089355469 24.948699951171875 0.0
109 0.0 39.47658920288086 25.404436111450195 0.0
110 0.0 21.235448837280273 27.920896530151367 0.0
111 0.0 46.42258071899414 41.328609466552734 0.0
112 0.0 41.3096923828125 46.42939758300781 0.0
113 0.0 3.5556793212890625 41.284202575683594 0.0
114 0.0 46.437896728515625 8.710925102233887 0.0
115 0.0 8.636364936828613 46.495880126953125 0.0
116 0.0 8.672061920166016 3.5771710872650146 0.0
117 0.0 3.562077760696411 8.710935592651367 0.0
118 0.0 41.33733367919922 3.6017558574676514 0.0
119 0.0 24.76163101196289 34.84242248535156 0.0
120 0.0 39.20526123046875 20.75476837158203 0.0
121 0.0 10.777931213378906 20.762205123901367 0.0
122 0.0 17.85980987548828 17.561870574951172 0.0
123 0.0 21.80991554260254 42.04376220703125 0.0
124 0.0 21.787294387817383 7.924829483032227 0.0
125 0.0 28.565263748168945 8.312098503112793 0.0
126 0.0 29.065427780151367 42.03479766845703 0.0
127 0.0 41.94532775878906 28.347320556640625 0.0
128 0.0 8.649765968322754 28.783954620361328 0.0
129 0.0 32.86201095581055 32.734554290771484 0.0
130 0.0 11.29833984375 32.933372497558594 0.0
131 50.0 29.169002532958984 18.752336502075195 0.0
132 50.0 35.41666793823242 14.583333015441895 0.0
133 50.0 34.076683044433594 20.595439910888672 0.0
134 50.0 11.707837104797363 25.040069580078125 0.0
135 50.0 15.203282356262207 20.945171356201172 0.0
136 50.0 16.759885787963867 26.331340789794922 0.0
137 50.0 22.22222137451172 50.0 0.0
138 50.0 25.0 44.98529815673828 0.0
139 50.0 27.77777862548828 50.0 0.0
140 50.0 50.0 27.77777862548828 0.0
141 50.0 44.55797576904297 24.0207576751709 0.0
142 50.0 50.0 22.22222137451172 0.0
143 50.0 0.0 22.22222137451172 0.0
144 50.0 5.424107074737549 24.268707275390625 0.0
145 50.0 0.0 27.77777862548828 0.0
146 50.0 25.0 4.926973342895508 0.0
147 50.0 22.22222137451172 0.0 0.0
148 50.0 27.77777862548828 0.0 0.0
149 50.0 13.685154914855957 29.83278465270996 0.0
150 50.0 29.531787872314453 12.834373474121094 0.0
151 50.0 32.74656295776367 8.659217834472656 0.0
152 50.0 33.33333206176758 50.0 0.0
153 50.0 36.3356819152832 45.26753616333008 0.0
154 50.0 38.88888931274414 50.0 0.0
155 50.0 50.0 38.88888931274414 0.0
156 50.0 45.23345947265625 36.430267333984375 0.0
157 50.0 50.0 33.33333206176758 0.0
158 50.0 0.0 33.33333206176758 0.0
159 50.0 4.739992618560791 36.37662124633789 0.0
160 50.0 0.0 38.88888931274414 0.0
161 50.0 38.88888931274414 0.0 0.0
162 50.0 36.47388458251953 4.888228893280029 0.0
163 50.0 33.33333206176758 0.0 0.0
164 50.0 50.0 16.66666603088379 0.0
165 50.0 45.310035705566406 13.767406463623047 0.0
166 50.0 50.0 11.11111068725586 0.0
167 50.0 11.11111068725586 50.0 0.0
168 50.0 13.727869033813477 45.26668930053711 0.0
169 50.0 16.66666603088379 50.0 0.0
170 50.0 16.66666603088379 0.0 0.0
171 50.0 13.573090553283691 4.765305042266846 0.0
172 50.0 11.11111068725586 0.0 0.0
173 50.0 0.0 11.11111068725586 0.0
174 50.0 4.689837455749512 13.767461776733398 0.0
175 50.0 0.0 16.66666603088379 0.0
176 50.0 29.612098693847656 23.932254791259766 0.0
177 50.0 32.12632369995117 28.29034423828125 0.0
178 50.0 28.86785125732422 33.73493576049805 0.0
179 50.0 26.2258243560791 29.7103214263916 0.0
180 50.0 24.80985450744629 24.91738510131836 0.0
181 50.0 45.2394905090332 45.2394905090332 0.0
182 50.0 50.0 50.0 0.0
183 50.0 44.44444274902344 50.0 0.0
184 50.0 50.0 44.44444274902344 0.0
185 50.0 45.2394905090332 4.760508060455322 0.0
186 50.0 50.0 0.0 0.0
187 50.0 50.0 5.55555534362793 0.0
188 50.0 44.44444274902344 0.0 0.0
189 50.0 0.0 44.44444274902344 0.0
190 50.0 4.427243709564209 45.572757720947266 0.0
191 50.0 0.0 50.0 0.0
192 50.0 5.55555534362793 50.0 0.0
193 50.0 0.0 0.0 0.0
194 50.0 4.760508060455322 4.760508060455322 0.0
195 50.0 0.0 5.55555534362793 0.0
196 50.0 5.55555534362793 0.0 0.0
