// ================================================================================
// CHRONO WORKBENCH - github.com/Concrete-Chrono-Development/chrono-preprocessor
//
// Copyright (c) 2023 
// All rights reserved. 
//
// Use of the code that generated this file is governed by a BSD-style license that
// can be found in the LICENSE file at the top level of the distribution and at
// github.com/Concrete-Chrono-Development/chrono-preprocessor/blob/main/LICENSE
//
// ================================================================================
// Tetrahedra Data File
// ================================================================================
//
// Data Structure:
// Node 1 Node 2 Node 3 Node 4
// Note: Node numbers are zero-indexed
//
// ================================================================================
405 403 502 404
1071 310 973 1093
198 1098 764 703
2 92 19 907
769 979 1047 741
687 845 1132 774
861 1119 1075 715
359 835 943 1094
134 149 1009 1079
307 306 359 564
593 154 723 1144
83 85 86 1161
237 136 149 775
498 559 897 1158
714 679 1113 778
139 234 644 152
668 588 876 998
720 830 1095 946
64 63 513 65
418 512 417 54
1151 957 754 908
63 64 513 306
920 556 749 1012
91 92 879 739
1156 938 912 840
970 1052 990 733
802 1119 869 1038
58 302 60 59
63 62 64 306
65 116 565 39
925 798 759 838
100 547 15 492
508 505 920 730
1010 783 1142 910
38 37 599 734
268 145 233 344
1088 853 895 862
248 194 195 796
178 250 810 804
373 795 864 948
513 524 565 1103
779 986 807 922
15 16 492 17
38 37 36 599
104 17 550 946
214 1064 679 1036
217 238 237 679
271 269 1111 998
624 592 609 1126
1025 1020 963 739
76 78 989 972
975 675 916 892
145 233 344 158
82 81 21 1019
398 399 1134 1013
495 519 901 1136
250 178 179 804
928 1096 1118 814
336 1015 936 797
903 796 909 857
818 711 955 707
557 508 505 920
1088 853 686 895
121 4 745 1145
363 267 265 1015
57 55 118 740
123 84 677 776
818 1157 752 1143
957 992 1151 759
135 225 1035 742
419 421 1139 854
873 725 697 1150
415 427 466 729
537 767 839 972
543 571 1088 851
853 507 1088 709
115 608 61 59
1057 855 770 806
635 591 793 1010
179 178 810 804
452 9 98 834
1153 750 987 826
374 388 795 948
254 679 1055 871
250 227 952 1018
938 497 729 912
954 745 875 1037
48 69 129 689
594 21 1149 987
432 445 444 1115
432 446 445 1115
1095 830 686 862
995 845 687 774
1050 720 702 872
777 977 829 776
609 723 937 1144
620 632 1063 734
